controller,scenario,seed,min_green,delay_per_trip,trips,wall_s
green_wave,corridor_tidal,42,5,19.56836427939882,2262,22.358855791
green_wave,corridor_tidal,43,5,19.270807155322895,2292,23.257783833
green_wave,corridor_tidal,44,5,20.121129390840377,2249,22.754703917000008
green_wave,corridor_tidal,45,5,19.456642664266436,2222,21.72706658300001
green_wave,corridor_tidal,46,5,19.63221766848819,2196,22.68522970799999
green_wave,corridor_tidal,47,5,19.954568221070783,2316,23.05554087499999
green_wave,corridor_tidal,48,5,19.585057067603163,2278,23.02908258300002
green_wave,corridor_tidal,49,5,19.079528604119005,2185,21.753754583000017
green_wave,corridor_tidal,50,5,19.634085447263008,2247,22.898468167000004
green_wave,corridor_tidal,51,5,19.147565819861416,2165,21.754333790999993
max_pressure,corridor_tidal,42,5,21.084606194690284,2260,24.708916708000004
max_pressure,corridor_tidal,43,5,19.058732026143787,2295,24.272180750000015
max_pressure,corridor_tidal,44,5,18.851071111111136,2250,24.478694916999984
max_pressure,corridor_tidal,45,5,18.010026942074553,2227,24.02696791599999
max_pressure,corridor_tidal,46,5,18.980363967242976,2198,23.78388720800001
max_pressure,corridor_tidal,47,5,18.71141313742439,2314,24.236543208
max_pressure,corridor_tidal,48,5,20.574581690757764,2283,25.218549708000012
max_pressure,corridor_tidal,49,5,17.812025605852767,2187,23.52940079199999
max_pressure,corridor_tidal,50,5,18.726180524677623,2249,24.941478167000017
max_pressure,corridor_tidal,51,5,18.83850484540839,2167,23.78202912499995
green_wave,corridor_tidal,42,10,19.56836427939882,2262,22.527649750000023
green_wave,corridor_tidal,43,10,19.270807155322895,2292,23.05380937499996
green_wave,corridor_tidal,44,10,20.121129390840377,2249,23.112553124999977
green_wave,corridor_tidal,45,10,19.456642664266436,2222,22.34699491599997
green_wave,corridor_tidal,46,10,19.63221766848819,2196,22.41323962500007
green_wave,corridor_tidal,47,10,19.954568221070783,2316,22.746800833000066
green_wave,corridor_tidal,48,10,19.585057067603163,2278,22.476466374999973
green_wave,corridor_tidal,49,10,19.079528604119005,2185,21.859771415999944
green_wave,corridor_tidal,50,10,19.634085447263008,2247,22.637694792000048
green_wave,corridor_tidal,51,10,19.147565819861416,2165,23.577490249999983
max_pressure,corridor_tidal,42,10,27.878280903854712,2257,25.789592332999973
max_pressure,corridor_tidal,43,10,25.59775501307761,2294,25.27175620900005
max_pressure,corridor_tidal,44,10,26.239368046283904,2247,25.57538737499999
max_pressure,corridor_tidal,45,10,25.3011221270843,2219,25.133828875000063
max_pressure,corridor_tidal,46,10,26.36402372262771,2192,25.264336666999952
max_pressure,corridor_tidal,47,10,25.46425725422262,2309,26.15070804200002
max_pressure,corridor_tidal,48,10,24.24057456140351,2280,25.75234512499992
max_pressure,corridor_tidal,49,10,24.35924908424905,2184,24.845049000000017
max_pressure,corridor_tidal,50,10,25.562765673632725,2249,25.044934000000012
max_pressure,corridor_tidal,51,10,25.34300831792976,2164,24.388627417000063
green_wave,corridor_tidal,42,15,31.02372723234115,2251,24.745483124999964
green_wave,corridor_tidal,43,15,29.62968490153168,2285,24.191119707999977
green_wave,corridor_tidal,44,15,31.220463251670335,2245,24.795891250000068
green_wave,corridor_tidal,45,15,29.75351375732968,2217,23.910929625000108
green_wave,corridor_tidal,46,15,31.097861060329045,2188,28.07879066700002
green_wave,corridor_tidal,47,15,30.580534782608705,2300,28.606102542000144
green_wave,corridor_tidal,48,15,31.421434245366285,2266,26.3470877499999
green_wave,corridor_tidal,49,15,29.55949035812667,2178,28.655651875000103
green_wave,corridor_tidal,50,15,31.751624888093147,2234,28.28199841599985
green_wave,corridor_tidal,51,15,30.052334106728537,2155,23.88305316700007
max_pressure,corridor_tidal,42,15,20.79024734982328,2264,24.16133424999998
max_pressure,corridor_tidal,43,15,21.582930131004336,2290,24.31862004100003
max_pressure,corridor_tidal,44,15,20.881742222222197,2250,25.419822458
max_pressure,corridor_tidal,45,15,21.746347708894874,2226,24.58807854199995
max_pressure,corridor_tidal,46,15,22.182768951429864,2203,24.97113891699996
max_pressure,corridor_tidal,47,15,19.12475204829668,2319,24.680047583000032
max_pressure,corridor_tidal,48,15,19.458596491228075,2280,24.853348207999943
max_pressure,corridor_tidal,49,15,20.6548029330889,2182,24.234782083000027
max_pressure,corridor_tidal,50,15,21.555953757225375,2249,25.18735079199996
max_pressure,corridor_tidal,51,15,20.704335180055388,2166,23.880249291999917
green_wave,corridor_tidal,42,20,31.02372723234115,2251,24.830138874999875
green_wave,corridor_tidal,43,20,29.62968490153168,2285,25.008243958000097
green_wave,corridor_tidal,44,20,31.220463251670335,2245,25.55144650000011
green_wave,corridor_tidal,45,20,29.75351375732968,2217,24.253591500000084
green_wave,corridor_tidal,46,20,31.097861060329045,2188,24.07843854199996
green_wave,corridor_tidal,47,20,30.580534782608705,2300,26.218268708000096
green_wave,corridor_tidal,48,20,31.421434245366285,2266,26.260336584000015
green_wave,corridor_tidal,49,20,29.55949035812667,2178,23.613962291000007
green_wave,corridor_tidal,50,20,31.751624888093147,2234,24.957191875000035
green_wave,corridor_tidal,51,20,30.052334106728537,2155,23.867120583000087
max_pressure,corridor_tidal,42,20,22.96079610791682,2261,24.577792916999897
max_pressure,corridor_tidal,43,20,22.494074398249474,2285,24.07684191699991
max_pressure,corridor_tidal,44,20,23.905910913140342,2245,24.99025312499998
max_pressure,corridor_tidal,45,20,23.493090090090092,2220,25.156670374999976
max_pressure,corridor_tidal,46,20,24.0395471180238,2186,24.726653291000048
max_pressure,corridor_tidal,47,20,23.2211260869565,2300,25.527342584000053
max_pressure,corridor_tidal,48,20,23.43976200969592,2269,25.059829499999974
max_pressure,corridor_tidal,49,20,22.47928996793405,2183,24.02648554200005
max_pressure,corridor_tidal,50,20,25.98369973190347,2238,25.707772707999993
max_pressure,corridor_tidal,51,20,24.469459084604708,2163,24.675175542000034
green_wave,corridor_tidal,42,25,33.02890611160318,2258,25.832462750000104
green_wave,corridor_tidal,43,25,32.95234395460503,2291,25.694438208000065
green_wave,corridor_tidal,44,25,33.046484201157114,2247,25.60104387499996
green_wave,corridor_tidal,45,25,32.77628995947776,2221,24.882725292000032
green_wave,corridor_tidal,46,25,32.865866788321156,2192,24.915053416999857
