label,n,mean,sd,ci_lo,ci_hi
SP9 irregular: green_wave - idqn (positive = idqn faster),10,0.9586325475182225,0.3843333545179044,0.7248697243221089,1.176396093631556
SP14b regular: lam0.50 - lam0.25 (positive = 0.25 faster),10,0.996813812434034,0.424454360880915,0.7574205510757793,1.2560884185792038
SP14b irregular: lam0.50 - lam0.25 (positive = 0.25 faster),10,0.5932295805057499,0.45236492776138487,0.32954299482187976,0.861918972187994
SP14 regular (n=3): lam0.50 - lam0.25,3,0.8744594709242767,0.33160439958793186,0.6693525423728541,1.2570305037938603
SP14 irregular (n=3): lam0.50 - lam0.25,3,0.24548896307203094,0.3785402661576711,-0.11674551759324814,0.6384607970900262
SP13 r=0.5: green_wave - idqn,3,-3.0906290051715963,0.37140649566690165,-3.5070102363531266,-2.7934845377059236
SP13 r=0.6: green_wave - idqn,3,13.976952109598939,0.21590508346431908,13.728479440814914,14.118823769795775
SP13 r=0.75: green_wave - idqn,3,3.4062843939960232,0.37000051022913377,3.023606605379623,3.7621488490677883
SP13 r=0.9: green_wave - idqn,3,-3.693320739281207,0.20676763462142644,-3.84019809198775,-3.456869372706045
SP13e r=0.1: green_wave - idqn,3,-0.089075848222393,0.5690140817544094,-0.4944077932383699,0.5614255136832931
SP13e r=0.2: green_wave - idqn,3,6.027747502022745,0.40306099717996147,5.640900255183723,6.445269481432447
SP13e r=0.45: green_wave - idqn,3,-3.3204320343689173,0.17045190564103002,-3.5172308143048685,-3.219476808246288
static60 - actuated_mg60 (positive = actuated faster),5,9.281388909192586,23.898556375789276,-8.87836596793139,27.818452105265607
