controller,seed,vtype,time_loss
green_wave,42,moto,17.8
green_wave,42,moto,18.78
green_wave,42,moto,20.74
green_wave,42,moto,1.87
green_wave,42,moto,7.4
green_wave,42,moto,16.85
green_wave,42,auto,8.65
green_wave,42,moto,5.81
green_wave,42,moto,5.01
green_wave,42,moto,5.14
green_wave,42,car,3.58
green_wave,42,car,3.83
green_wave,42,moto,9.92
green_wave,42,moto,22.02
green_wave,42,moto,9.38
green_wave,42,moto,5.78
green_wave,42,moto,23.76
green_wave,42,moto,23.3
green_wave,42,moto,18.78
green_wave,42,moto,10.78
green_wave,42,moto,3.97
green_wave,42,moto,17.23
green_wave,42,moto,23.82
green_wave,42,moto,11.65
green_wave,42,auto,15.44
green_wave,42,moto,11.55
green_wave,42,auto,5.8
green_wave,42,auto,20.95
green_wave,42,moto,5.53
green_wave,42,moto,8.32
green_wave,42,auto,15.5
green_wave,42,car,13.2
green_wave,42,moto,13.52
green_wave,42,auto,14.21
green_wave,42,moto,10.36
green_wave,42,moto,2.02
green_wave,42,auto,13.81
green_wave,42,moto,7.97
green_wave,42,auto,19.19
green_wave,42,auto,18.06
green_wave,42,moto,6.23
green_wave,42,moto,8.16
green_wave,42,moto,2.77
green_wave,42,moto,20.81
green_wave,42,moto,15.31
green_wave,42,auto,1.26
green_wave,42,moto,24.25
green_wave,42,auto,6.14
green_wave,42,auto,20.22
green_wave,42,auto,2.08
green_wave,42,car,9.42
green_wave,42,moto,5.48
green_wave,42,moto,6.57
green_wave,42,auto,2.99
green_wave,42,moto,13.34
green_wave,42,moto,2.49
green_wave,42,moto,1.95
green_wave,42,car,3.44
green_wave,42,moto,20.71
green_wave,42,moto,24.97
green_wave,42,moto,26.02
green_wave,42,moto,7.78
green_wave,42,car,22.45
green_wave,42,car,11.49
green_wave,42,moto,18.13
green_wave,42,auto,25.85
green_wave,42,moto,18.29
green_wave,42,moto,18.27
green_wave,42,moto,4.54
green_wave,42,moto,3.45
green_wave,42,moto,17.06
green_wave,42,car,3.73
green_wave,42,auto,16.0
green_wave,42,car,19.26
green_wave,42,moto,20.47
green_wave,42,moto,16.49
green_wave,42,moto,15.28
green_wave,42,auto,1.3
green_wave,42,auto,4.46
green_wave,42,moto,10.69
green_wave,42,moto,11.5
green_wave,42,car,11.91
green_wave,42,moto,10.23
green_wave,42,moto,3.3
green_wave,42,moto,6.05
green_wave,42,auto,10.23
green_wave,42,auto,25.94
green_wave,42,moto,15.21
green_wave,42,car,22.28
green_wave,42,auto,9.46
green_wave,42,moto,9.43
green_wave,42,auto,4.44
green_wave,42,auto,6.81
green_wave,42,auto,6.35
green_wave,42,moto,5.81
green_wave,42,moto,1.88
green_wave,42,moto,16.36
green_wave,42,car,20.79
green_wave,42,car,20.41
green_wave,42,car,15.31
green_wave,42,moto,11.13
green_wave,42,car,14.26
green_wave,42,moto,22.65
green_wave,42,auto,19.46
green_wave,42,auto,17.36
green_wave,42,moto,25.43
green_wave,42,auto,14.6
green_wave,42,car,17.23
green_wave,42,moto,11.32
green_wave,42,auto,15.14
green_wave,42,car,10.17
green_wave,42,moto,15.9
green_wave,42,moto,14.12
green_wave,42,moto,8.07
green_wave,42,auto,18.97
green_wave,42,moto,20.57
green_wave,42,moto,19.33
green_wave,42,moto,8.8
green_wave,42,moto,9.79
green_wave,42,moto,23.03
green_wave,42,moto,16.21
green_wave,42,moto,4.52
green_wave,42,moto,22.59
green_wave,42,moto,2.85
green_wave,42,moto,10.0
green_wave,42,moto,9.09
green_wave,42,moto,28.06
green_wave,42,auto,30.66
green_wave,42,auto,28.75
green_wave,42,auto,24.54
green_wave,42,moto,17.52
green_wave,42,car,26.75
green_wave,42,auto,13.58
green_wave,42,moto,26.07
green_wave,42,auto,19.13
green_wave,42,moto,32.1
green_wave,42,moto,21.33
green_wave,42,moto,22.11
green_wave,42,moto,15.51
green_wave,42,car,14.72
green_wave,42,car,12.13
green_wave,42,moto,2.93
green_wave,42,moto,6.7
green_wave,42,moto,22.66
green_wave,42,car,10.01
green_wave,42,auto,21.79
green_wave,42,car,1.34
green_wave,42,moto,5.5
green_wave,42,moto,6.82
green_wave,42,moto,16.96
green_wave,42,moto,11.45
green_wave,42,moto,6.35
green_wave,42,moto,2.3
green_wave,42,moto,5.94
green_wave,42,car,8.16
green_wave,42,moto,11.83
green_wave,42,auto,25.74
green_wave,42,car,3.48
green_wave,42,car,22.69
green_wave,42,auto,21.87
green_wave,42,moto,14.1
green_wave,42,moto,5.26
green_wave,42,moto,37.11
green_wave,42,car,17.42
green_wave,42,moto,22.54
green_wave,42,auto,11.78
green_wave,42,moto,6.87
green_wave,42,moto,19.47
green_wave,42,moto,4.71
green_wave,42,car,22.87
green_wave,42,auto,1.06
green_wave,42,moto,1.76
green_wave,42,car,17.72
green_wave,42,moto,18.67
green_wave,42,auto,22.84
green_wave,42,moto,24.77
green_wave,42,auto,17.96
green_wave,42,moto,27.19
green_wave,42,moto,16.88
green_wave,42,moto,16.02
green_wave,42,auto,19.74
green_wave,42,moto,18.94
green_wave,42,moto,1.67
green_wave,42,moto,20.33
green_wave,42,auto,5.13
green_wave,42,auto,12.39
green_wave,42,auto,17.37
