controller,net,seed,delay_per_trip,trips
green_wave,regular,42,13.444853940217376,2944
green_wave,regular,43,13.51903236569904,2997
green_wave,regular,44,13.4506137673788,2949
green_wave,irregular,42,19.44260616438357,2920
green_wave,irregular,43,19.969986568166572,2978
green_wave,irregular,44,19.439271047227912,2922
max_pressure,regular,42,29.236263623978207,2936
max_pressure,regular,43,21.888832385413146,2989
max_pressure,regular,44,28.02202044293018,2935
max_pressure,irregular,42,21.135340170940164,2925
max_pressure,irregular,43,22.54070924369749,2975
max_pressure,irregular,44,22.84463013698635,2920
idqn,regular,42,16.951864176570503,2945
idqn,irregular,42,18.41363480644057,2919
idqn,regular,43,16.49042460715478,2991
idqn,irregular,43,18.615504187604696,2985
idqn,regular,44,16.244098305084723,2950
idqn,irregular,44,18.404781121751036,2924
