controller,net,seed,delay_per_trip,trips
green_wave,regular,42,13.444853940217376,2944
green_wave,regular,43,13.51903236569904,2997
green_wave,regular,44,13.4506137673788,2949
green_wave,regular,45,13.734440583738705,2878
green_wave,regular,46,13.152042640990398,2908
green_wave,irregular2,42,21.314097911674097,2921
green_wave,irregular2,43,21.892970063908475,2973
green_wave,irregular2,44,21.525176309483022,2921
green_wave,irregular2,45,21.535132774283717,2862
green_wave,irregular2,46,21.135867082035336,2889
green_wave,irregular3,42,20.28380660537967,2937
green_wave,irregular3,43,21.0509939759036,2988
green_wave,irregular3,44,20.66862538278327,2939
green_wave,irregular3,45,20.679996518105817,2872
green_wave,irregular3,46,20.39723294279804,2902
max_pressure,regular,42,29.236263623978207,2936
max_pressure,regular,43,21.888832385413146,2989
max_pressure,regular,44,28.02202044293018,2935
max_pressure,regular,45,20.596334841628952,2873
max_pressure,regular,46,29.392691776088487,2894
max_pressure,irregular2,42,24.488463648833985,2916
max_pressure,irregular2,43,24.538487903225814,2976
max_pressure,irregular2,44,24.379660726525035,2918
max_pressure,irregular2,45,20.058552493896055,2867
max_pressure,irregular2,46,25.131401318071475,2883
max_pressure,irregular3,42,20.899867392043536,2941
max_pressure,irregular3,43,22.451430003341112,2993
max_pressure,irregular3,44,22.101574294457677,2941
max_pressure,irregular3,45,20.591890010442015,2873
max_pressure,irregular3,46,20.6192707258342,2907
idqn,regular,42,16.951864176570503,2945
idqn,irregular2,42,18.333770491803275,2928
idqn,irregular3,42,17.260200000000047,2950
idqn,regular,43,16.49042460715478,2991
idqn,irregular2,43,18.72188672922252,2984
idqn,irregular3,43,17.288845126835813,2996
idqn,regular,44,16.244098305084723,2950
idqn,irregular2,44,18.122334816843576,2921
idqn,irregular3,44,17.23552765524261,2947
