lam,seed,geometry,net_file,delay_per_trip,trips,cached,safety_brake,safety_exposure,safety_total,safety_windows,safety_total_per_trip
0.25,42,regular,corridor.net.xml,15.694833672776642,2946,True,2265.2,209.0,2474.2,720,0.8398506449422946
0.25,43,regular,corridor.net.xml,15.793429240548665,2989,True,2387.6,255.6,2643.2,720,0.8843091334894613
0.25,44,regular,corridor.net.xml,15.574745762711869,2950,True,2435.1000000000004,238.0,2673.1000000000004,720,0.9061355932203391
0.25,45,regular,corridor.net.xml,15.923076923076907,2873,True,2308.8,215.10000000000002,2523.9,720,0.8784893839192482
0.25,46,regular,corridor.net.xml,15.486017211703947,2905,True,2246.8,241.1,2487.9,720,0.8564199655765922
0.25,47,regular,corridor.net.xml,16.216553804894353,2983,True,2444.5,271.9,2716.4,720,0.9106268856855515
0.25,48,regular,corridor.net.xml,15.450878492090165,2971,True,2268.8,247.0,2515.8,720,0.8467855940760687
0.25,49,regular,corridor.net.xml,15.490140548137727,2846,True,2326.3,226.10000000000002,2552.4,720,0.8968376669009136
0.25,50,regular,corridor.net.xml,15.860094915254239,2950,True,2272.7,275.4,2548.1,720,0.8637627118644068
0.25,51,regular,corridor.net.xml,15.740951039098297,2839,True,2236.3999999999996,251.60000000000002,2488.0,720,0.8763649172243748
0.5,42,regular,corridor.net.xml,16.951864176570503,2945,True,2170.6000000000004,198.8,2369.4,720,0.8045500848896435
0.5,43,regular,corridor.net.xml,16.49042460715478,2991,True,1871.6,170.8,2042.4,720,0.6828485456369108
0.5,44,regular,corridor.net.xml,16.244098305084723,2950,True,1965.0,193.9,2158.9,720,0.7318305084745763
0.5,45,regular,corridor.net.xml,17.125219054242002,2876,True,1887.5,142.5,2030.0,720,0.7058414464534075
0.5,46,regular,corridor.net.xml,16.96043642611685,2910,True,1918.3999999999999,177.5,2095.9,720,0.7202405498281788
0.5,47,regular,corridor.net.xml,16.766772788203763,2984,True,2133.0,219.5,2352.5,720,0.7883713136729222
0.5,48,regular,corridor.net.xml,17.173833221250824,2974,True,1898.8000000000002,155.2,2054.0,720,0.6906523201075991
0.5,49,regular,corridor.net.xml,16.194187763713078,2844,True,1898.0,183.6,2081.6,720,0.7319268635724332
0.5,50,regular,corridor.net.xml,16.3678605442177,2940,True,1951.8000000000002,201.4,2153.2,720,0.7323809523809524
0.5,51,regular,corridor.net.xml,16.92416284807893,2837,True,1906.0,173.7,2079.7,720,0.7330630948184701
0.25,42,irregular,corridor_irregular.net.xml,18.198883196721255,2928,True,2585.4,174.6,2760.0,720,0.9426229508196722
0.25,43,irregular,corridor_irregular.net.xml,17.97704339051467,2973,True,2561.4,219.6,2781.0,720,0.9354187689202825
0.25,44,irregular,corridor_irregular.net.xml,18.521526639344284,2928,True,2660.8,211.1,2871.9,720,0.9808401639344263
0.25,45,irregular,corridor_irregular.net.xml,18.14165794066317,2865,True,2543.8,212.29999999999998,2756.1000000000004,720,0.9619895287958117
0.25,46,irregular,corridor_irregular.net.xml,17.750280470914138,2888,True,2493.6,165.4,2659.0,720,0.9207063711911357
0.25,47,irregular,corridor_irregular.net.xml,18.015973109243717,2975,True,2625.1000000000004,222.10000000000002,2847.2000000000003,720,0.9570420168067227
0.25,48,irregular,corridor_irregular.net.xml,17.805310600945315,2962,True,2652.2,216.7,2868.9,720,0.9685685347738016
0.25,49,irregular,corridor_irregular.net.xml,17.79441696113071,2830,True,2400.2000000000003,223.2,2623.4000000000005,720,0.9269964664310956
0.25,50,irregular,corridor_irregular.net.xml,17.388929423798157,2933,False,2399.2,209.9,2609.1,720,0.8895669962495738
0.25,51,irregular,corridor_irregular.net.xml,17.68792152704132,2829,False,2468.4,201.4,2669.8,720,0.9437256981265465
0.5,42,irregular,corridor_irregular.net.xml,18.41363480644057,2919,True,2151.9,182.9,2334.8,720,0.7998629667694417
0.5,43,irregular,corridor_irregular.net.xml,18.615504187604696,2985,True,2044.6000000000001,138.7,2183.3,720,0.7314237855946399
0.5,44,irregular,corridor_irregular.net.xml,18.404781121751036,2924,True,2146.7,182.5,2329.2,720,0.7965800273597811
0.5,45,irregular,corridor_irregular.net.xml,18.782281435040026,2871,False,1955.4,152.39999999999998,2107.8,720,0.7341692789968652
0.5,46,irregular,corridor_irregular.net.xml,18.971125346260386,2888,False,2054.0,108.5,2162.5,720,0.7487880886426593
0.5,47,irregular,corridor_irregular.net.xml,18.186012764528016,2977,False,2224.1000000000004,161.4,2385.5,720,0.8013100436681223
0.5,48,irregular,corridor_irregular.net.xml,19.074462474645003,2958,False,2051.4,146.8,2198.2,720,0.7431372549019607
0.5,49,irregular,corridor_irregular.net.xml,18.10944522968199,2830,False,2056.0,154.7,2210.7,720,0.7811660777385159
0.5,50,irregular,corridor_irregular.net.xml,18.23073859768548,2938,False,2005.3999999999999,135.9,2141.3,720,0.7288291354663037
0.5,51,irregular,corridor_irregular.net.xml,18.426253101737036,2821,False,2044.6,116.80000000000001,2161.3999999999996,720,0.7661822048918822
