controller,span,t,ts,phase,halting,vehicles
green_wave,400,0.0,C1,0,0,0
green_wave,400,0.0,C2,0,0,0
green_wave,400,0.0,C3,0,0,0
green_wave,400,0.0,C3_E,-1,0,0
green_wave,400,5.0,C1,0,0,1
green_wave,400,5.0,C2,0,0,0
green_wave,400,5.0,C3,0,0,0
green_wave,400,5.0,C3_E,-1,0,0
green_wave,400,10.0,C1,0,0,1
green_wave,400,10.0,C2,0,0,0
green_wave,400,10.0,C3,0,0,0
green_wave,400,10.0,C3_E,-1,0,0
green_wave,400,15.0,C1,0,0,3
green_wave,400,15.0,C2,0,0,0
green_wave,400,15.0,C3,0,0,0
green_wave,400,15.0,C3_E,-1,0,0
green_wave,400,20.0,C1,1,0,6
green_wave,400,20.0,C2,0,0,0
green_wave,400,20.0,C3,1,0,0
green_wave,400,20.0,C3_E,-1,0,0
green_wave,400,25.0,C1,1,0,6
green_wave,400,25.0,C2,0,0,1
green_wave,400,25.0,C3,1,0,0
green_wave,400,25.0,C3_E,-1,0,0
green_wave,400,30.0,C1,1,0,4
green_wave,400,30.0,C2,0,0,3
green_wave,400,30.0,C3,1,0,0
green_wave,400,30.0,C3_E,-1,0,0
green_wave,400,35.0,C1,0,1,5
green_wave,400,35.0,C2,1,0,3
green_wave,400,35.0,C3,0,0,0
green_wave,400,35.0,C3_E,-1,0,0
green_wave,400,40.0,C1,0,3,7
green_wave,400,40.0,C2,1,0,3
green_wave,400,40.0,C3,0,0,0
green_wave,400,40.0,C3_E,-1,0,0
green_wave,400,45.0,C1,0,4,9
green_wave,400,45.0,C2,1,0,0
green_wave,400,45.0,C3,0,0,3
green_wave,400,45.0,C3_E,-1,0,0
green_wave,400,50.0,C1,1,0,4
green_wave,400,50.0,C2,0,0,0
green_wave,400,50.0,C3,1,0,3
green_wave,400,50.0,C3_E,-1,0,0
green_wave,400,55.0,C1,1,0,2
green_wave,400,55.0,C2,0,0,6
green_wave,400,55.0,C3,1,0,3
green_wave,400,55.0,C3_E,-1,0,0
green_wave,400,60.0,C1,1,0,1
green_wave,400,60.0,C2,0,0,9
green_wave,400,60.0,C3,1,0,0
green_wave,400,60.0,C3_E,-1,0,2
green_wave,400,65.0,C1,0,0,1
green_wave,400,65.0,C2,1,0,7
green_wave,400,65.0,C3,0,0,0
green_wave,400,65.0,C3_E,-1,0,3
green_wave,400,70.0,C1,0,0,3
green_wave,400,70.0,C2,1,0,2
green_wave,400,70.0,C3,0,0,6
green_wave,400,70.0,C3_E,-1,0,3
green_wave,400,75.0,C1,0,1,3
green_wave,400,75.0,C2,1,0,0
green_wave,400,75.0,C3,0,0,9
green_wave,400,75.0,C3_E,-1,0,1
green_wave,400,80.0,C1,1,0,3
green_wave,400,80.0,C2,0,0,0
green_wave,400,80.0,C3,1,0,7
green_wave,400,80.0,C3_E,-1,0,0
green_wave,400,85.0,C1,1,0,3
green_wave,400,85.0,C2,0,0,2
green_wave,400,85.0,C3,1,0,2
green_wave,400,85.0,C3_E,-1,0,5
green_wave,400,90.0,C1,1,0,2
green_wave,400,90.0,C2,0,0,3
green_wave,400,90.0,C3,1,0,0
green_wave,400,90.0,C3_E,-1,0,9
green_wave,400,95.0,C1,0,0,3
green_wave,400,95.0,C2,1,0,3
green_wave,400,95.0,C3,0,0,0
green_wave,400,95.0,C3_E,-1,0,7
green_wave,400,100.0,C1,0,2,3
green_wave,400,100.0,C2,1,0,2
green_wave,400,100.0,C3,0,0,1
green_wave,400,100.0,C3_E,-1,0,3
green_wave,400,105.0,C1,0,2,6
