step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,C_stopped,C_accumulated_waiting_time,C_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,system_safety_brake,system_safety_exposure,system_safety_total
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.443377069725372,0,0.0,0.8956916502952241,0,0.0,0.0,0.0,0.0
10.0,0,0.0,0.0,12.679128511160549,0,0.0,0.9148800587295555,0,0.0,0.0,0.0,0.0
15.0,0,0.0,0.0,11.960303165466346,0,0.0,0.8748605625496882,0,0.0,0.0,0.0,0.0
20.0,4,7.0,0.25,8.869572842835428,3,6.0,0.6567051331316444,3,6.0,5.6,0.0,5.6
25.0,8,38.0,1.0,10.106483938091388,8,38.0,0.6806162245933306,8,38.0,2.2,0.0,2.2
30.0,8,78.0,1.95,9.678259042758231,8,78.0,0.6137463056133567,8,78.0,4.0,0.0,4.0
35.0,11,130.0,3.0232558139534884,8.204293580257179,10,127.0,0.5463210943485881,10,127.0,5.0,0.0,5.0
40.0,16,196.0,4.454545454545454,7.555139770640838,15,192.0,0.4496934681999554,15,192.0,2.6,0.0,2.6
45.0,19,287.0,5.74,8.189566166412867,18,278.0,0.4936953467124587,18,278.0,0.0,0.0,0.0
50.0,21,384.0,7.245283018867925,6.721621364154266,20,342.0,0.44103232093854133,20,342.0,2.2,0.0,2.2
55.0,23,496.0,9.018181818181818,6.394944690350596,20,443.0,0.40361292421778006,20,443.0,4.6,0.0,4.6
60.0,27,596.0,11.037037037037036,5.597355138916354,26,562.0,0.3295479424321287,26,562.0,3.0,0.0,3.0
65.0,15,175.0,2.8225806451612905,6.2085012375569075,13,297.0,0.43533773604580783,13,297.0,3.2,0.0,3.2
70.0,8,28.0,0.4307692307692308,7.81804662304681,5,135.0,0.519997013731673,5,135.0,2.0,0.0,2.0
75.0,17,97.0,1.4696969696969697,8.064793945111914,12,110.0,0.4992159640684252,12,110.0,1.0,0.0,1.0
80.0,17,158.0,2.393939393939394,7.367080059525953,14,164.0,0.3995257130463643,14,164.0,8.4,0.0,8.4
85.0,25,263.0,3.925373134328358,6.931167939197456,20,246.0,0.4526646858196475,20,246.0,5.6,0.0,5.6
90.0,26,346.0,5.323076923076923,6.837500970621479,24,363.0,0.40770441244152467,24,363.0,1.2,0.0,1.2
95.0,26,420.0,6.885245901639344,5.641635786362789,23,401.0,0.30637992202821573,23,401.0,1.2,0.0,1.2
100.0,36,564.0,8.545454545454545,5.3026400166691445,32,541.0,0.28565522451348835,32,541.0,2.6,0.0,2.6
105.0,36,715.0,10.214285714285714,5.404548412510747,32,698.0,0.312705847306693,32,698.0,4.2,0.0,4.2
110.0,38,890.0,13.088235294117647,4.702338800314953,34,860.0,0.2924766861899714,34,860.0,5.6,0.0,5.6
115.0,41,1074.0,14.712328767123287,4.501583829546513,39,1044.0,0.2781332153881745,39,1044.0,3.0,0.0,3.0
120.0,44,1265.0,17.816901408450704,4.168466196272458,43,1250.0,0.22189148675951306,43,1250.0,3.0,0.0,3.0
